renwu,1111/01,1111/02,1111/08,1112/02,1112/06,1112/08,1112/08/10,1112/09,1112/10,1112/10/10,1112/12,1113/02/01,1113/02/10,1113/02/20,1113/03,1113/03/28,1113/04,1113/06,1113/06/10,1113/06/18,1113/07,1113/11,1113/11/05,1113/11/10,1113/11/15,1113/11/20,1113/12,1113/12/10,1114/02/09,1114/02/15,1114/05/05,1114/05/10,1114/05/15,1114/05,1114/06/04,1114/06,1114/06/10,1114/06/15,1114/06/20,1114/09,1114/09/10,1114/10,1115/04,1115/08,1115/08/10,1115/08/20,1115/10,1115/10/05,1115/10/15,1115/10/20,1115/12,1116/01,1116/01/10,1116/03,1116/06,1116/06/10,1116/07,1116/07/10,1116/10,1116/10/05,1116/10/10,1116/10/15,1116/10/20,1116/11,1116/11/10,1116/12,1116/12/10,1116/12/20,1117/01/01,1117/01/02,1117/01/03,1117/01/04,1117/01/05,1117/01/06,1117/01/07,1117/01/08,1117/01/09,1117/01/10,1117/01/11,1117/01/12,1117/02,1117/02/05,1117/02/10,1117/02/15,1117/04/02,1117/04/05,1117/04/08,1117/04/11,1117/04/14,1117/04/17,1117/04/20,1117/05,1117/05/10,1117/06,1117/06/05,1117/06/10,1117/06/15,1117/06/20,1117/06/25,1117/07,1117/08,1117/09,1117/11,1117/12,1118/01,1118/02,1118/04,1118/06,1118/07,1118/09,1118/10,1118/11,1118/12,1119/01,1119/02,1119/03,1119/05,1119/08,1119/09,1119/10,1119/11,1120/01,1120/02,1120/03,1120/04
刘唐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朱仝雷横抓住刘唐,晁盖解救刘唐,吴用劝解两人打斗,七星聚义,智取生辰纲,生辰纲事发，宋江报讯，七星议投梁山,朱仝私放晁盖,七星打败追兵，阮小七割掉何涛耳朵,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,刘唐夜晚送信给宋江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梁山发兵往江州,,,,,,,,,,,,,,,,,,,,,,,,,,
李逵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江结识戴宗、李逵和张顺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史进,,"王进到达华阴县史家庄,留在庄上教史太公之子史进武艺",王进辞别史进，前往延安府,史太公因病去世,史进结识少华山首领,史进邀朱武等三人赏月,史进因拒捕奔少华山,史进至渭州，遇鲁达、李忠。鲁达殴杀郑屠，弃官逃亡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穆弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江被穆弘、张横、穆春相逼,,宋江与张横、李俊、穆春、穆宏、童威、童猛、薛永聚会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷横,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朱仝雷横抓住刘唐,晁盖解救刘唐,吴用劝解两人打斗,,,,朱仝私放晁盖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李俊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江结识李俊、李立、童威、童猛,,,李俊赶来解救宋江,宋江与张横、李俊、穆春、穆宏、童威、童猛、薛永聚会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阮小二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,七星聚义,智取生辰纲,,,七星打败追兵，阮小七割掉何涛耳朵,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梁山发兵往江州,,,,,,,,,,,,,,,,,,,,,,,,,,
张横,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江被穆弘、张横、穆春相逼,李俊赶来解救宋江,宋江与张横、李俊、穆春、穆宏、童威、童猛、薛永聚会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阮小五,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,七星聚义,智取生辰纲,,,七星打败追兵，阮小七割掉何涛耳朵,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梁山发兵往江州,,,,,,,,,,,,,,,,,,,,,,,,,,
张顺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江结识戴宗、李逵和张顺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阮小七,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,七星聚义,智取生辰纲,,,七星打败追兵，阮小七割掉何涛耳朵,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梁山发兵往江州,,,,,,,,,,,,,,,,,,,,,,,,,,
杨雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石秀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解珍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解宝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
燕青,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱武,,,,,史进结识少华山首领,史进邀朱武等三人赏月,史进因拒捕奔少华山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黄信抓花荣,清风山众位好汉劫囚车，抓住刘高并处死，黄信逃回清风山,宋江囚车被劫，黄信一人逃回清风寨，飞马报知慕容知府,,,,,秦明拉拢黄信入伙,宋江等人去清风寨掳掠,清风山中，宋江等人商议投奔梁山,宋江路收吕方、郭盛,,几人上梁山,,,,,,,,,,,,,,,,梁山发兵往江州,,,,,,,,,,,,,,,,,,,,,,,,,,
孙立,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宣赞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郝思文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩滔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
